Data,Estado_HMM,Regime_Macro,Nome_Regime,Regime_Metrica,Regime_Futuro,Prob_Regime_Futuro,Estado_Futuro,Evento,Carteira_Atual,Carteira_Pendente,Alocacao,Executou,Reward_atual,Reward_nova,Patrimonio,Capital_CDI,Capital_Acoes,Exposicao_Acoes,Retorno_Modelo,Retorno_Benchmark,Retorno_Benchmark_Hibrido,Retorno_Benchmark_Hibrido_Dinamico,Capital_Preso_Clearing,Custo_Transacao,Custo_Slippage,Custo_Corretagem,ABCB4.SA,ABEV3.SA,AGRO3.SA,ALOS3.SA,ALUP11.SA,AMER3.SA,ANIM3.SA,ASAI3.SA,AURA33.SA,AZUL4.SA,AZZA3.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BHIA3.SA,BPAC11.SA,BPAN4.SA,BRAP4.SA,BRAV3.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE3.SA,CPLE6.SA,CRFB3.SA,CSMG3.SA,CSNA3.SA,CSUD3.SA,CURY3.SA,CVCB3.SA,CXSE3.SA,CYRE3.SA,DIRR3.SA,ECOR3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,FRAS3.SA,GGBR4.SA,GGPS3.SA,GOAU4.SA,GOLL4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,INTB3.SA,IRBR3.SA,ISAE4.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KEPL3.SA,KLBN11.SA,KLBN4.SA,LIGT3.SA,LJQQ3.SA,LREN3.SA,LWSA3.SA,MDNE3.SA,MGLU3.SA,MOVI3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,OIBR3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,POMO4.SA,POSI3.SA,PRIO3.SA,PSSA3.SA,RADL3.SA,RAIL3.SA,RDOR3.SA,RECV3.SA,RENT3.SA,ROMI3.SA,SANB11.SA,SAPR11.SA,SBSP3.SA,SLCE3.SA,SMFT3.SA,SMTO3.SA,SOJA3.SA,STBP3.SA,SUZB3.SA,TAEE11.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,UNIP6.SA,USIM5.SA,VALE3.SA,VBBR3.SA,VIVA3.SA,WEGE3.SA,YDUQ3.SA,CDI,Clearing
2015-01-05,1,2,Correcao,calmar,2,0.49943863043475556,99,HOLDING,100_CDI,,Alvo_Suavizado,False,0.0,1.1864136219732595,100043.739,100043.739,0.0,0.0,0.0,-0.029895814585957914,-0.014729212292978957,0.00043739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-01-06,1,2,Correcao,calmar,2,0.5040235602275405,99,ORDEM_CRIADA,100_CDI,Alvo_Suavizado,Alvo_Suavizado,False,0.0,1.1670676125363273,100087.4971,100087.4971,0.0,0.0,0.00043738999999987094,-0.020510389182058053,-0.010036499591029027,0.00043739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-01-07,0,3,Panico_Alta_Vol,cvar,2,0.45520876529603577,99,AGUARDANDO_EXECUCAO,100_CDI,Alvo_Suavizado,Alvo_Suavizado,False,0.0,1.2722738326474676,100131.2744,100131.2744,0.0,0.0,0.00043739030987666183,0.010185828229896776,0.005311609114948388,0.00043739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-01-08,0,3,Panico_Alta_Vol,cvar,2,0.4141590542109039,99,AGUARDANDO_EXECUCAO,100_CDI,Alvo_Suavizado,Alvo_Suavizado,False,0.0,1.3610328860190637,100175.0708,100175.0708,0.0,0.0,0.0004373900137015774,0.03045769879794169,0.015447544398970845,0.00043739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-01-09,0,3,Panico_Alta_Vol,cvar,3,0.43402663772700856,99,EXECUTOU_TROCA,Alvo_Suavizado,,Alvo_Suavizado,True,0.0,1.4325277508104677,99176.8038,25546.0536,73630.7501,0.7424,-0.009965224200152,0.00970422335887422,0.00507080667943711,0.007317263776609337,0.0,0.01,0.0063,0.0037,0.0,0.07200709064136303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0932334107412758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03809650669875831,0.0,0.0,0.0,0.04342852303738912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06779968375645808,0.0,0.0,0.0,0.034841677540720935,0.0,0.052093800836598994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05423557978463823,0.0,0.0,0.0,0.04003770202679773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07731512591187645,0.0,0.0,0.11987671283664453,0.0,0.0,0.0,0.0,0.0,0.0,0.04945325321655691,0.25758093297092194,0.0
2015-01-12,0,3,Panico_Alta_Vol,cvar,3,0.47647765401427056,99,HOLDING,Alvo_Suavizado,,Alvo_Suavizado,False,1.4898095179210882,1.4898095179210882,97112.6532,25557.2272,71555.426,0.7368,-0.020812836061387396,-0.02208517710189617,-0.010823893550948085,-0.016157892180580686,0.0,0.0,0.0,0.0,0.0,0.07447352004427474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08689810398537724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03520089818600132,0.0,0.0,0.0,0.04376803121768054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0690428625555312,0.0,0.0,0.0,0.03482264200886215,0.0,0.05339039648917946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05302423499055528,0.0,0.0,0.0,0.04275380006333241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07808068359436472,0.0,0.0,0.1200794296761213,0.0,0.0,0.0,0.0,0.0,0.0,0.045294467582899116,0.2631709296058205,0.0
2015-01-13,0,3,Panico_Alta_Vol,cvar,3,0.4830263620276777,99,HOLDING,Alvo_Suavizado,,Alvo_Suavizado,False,1.4946103804481163,1.4946103804481163,98135.4411,25568.4057,72567.0354,0.7395,0.010531973995918209,-0.014332514332514368,-0.006947562166257184,-0.010484333677009565,0.0,0.0,0.0,0.0,0.0,0.07369734159083446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09181042375674808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03575071367097202,0.0,0.0,0.0,0.043311871729577005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0682876651688828,0.0,0.0,0.0,0.034261887871146104,0.0,0.053021295615961334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05380845332779749,0.0,0.0,0.0,0.04140903555027884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07859054727256873,0.0,0.0,0.11997613286377017,0.0,0.0,0.0,0.0,0.0,0.0,0.04553261527107663,0.2605420163103863,0.0
2015-01-14,0,3,Panico_Alta_Vol,cvar,3,0.49611901225055244,99,HOLDING,Alvo_Suavizado,,Alvo_Suavizado,False,1.5101392242087504,1.5101392242087504,98643.591,25579.5891,73064.0019,0.7407,0.005178046913588252,-0.0020357291233901176,-0.0007991695616950588,-0.0013944165936431584,0.0,0.0,0.0,0.0,0.0,0.0735371085219193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09176096945498131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038302435361732536,0.0,0.0,0.0,0.043088756145655986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06867989065528621,0.0,0.0,0.0,0.03392795579434651,0.0,0.050884290586476456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05353126594233707,0.0,0.0,0.0,0.04081907824872505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.079296772337851,0.0,0.0,0.1203302628871892,0.0,0.0,0.0,0.0,0.0,0.0,0.046527975294856125,0.25931323876864315,0.0
2015-01-15,0,3,Panico_Alta_Vol,cvar,3,0.4826958772079253,99,HOLDING,Alvo_Suavizado,,Alvo_Suavizado,False,1.486798815079837,1.486798815079837,98210.7099,25590.7773,72619.9326,0.7394,-0.004388334862664767,-0.008242787560884257,-0.0039026987804421285,-0.0059809925757191166,0.0,0.0,0.0,0.0,0.0,0.07399343725878006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08932957720893735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03663929522630468,0.0,0.0,0.0,0.04327867748268286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06926729662468506,0.0,0.0,0.0,0.03415657244831126,0.0,0.051482978913364626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05326628249053392,0.0,0.0,0.0,0.0409832353837166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08088622984570466,0.0,0.0,0.12122682193920345,0.0,0.0,0.0,0.0,0.0,0.0,0.04491946636410547,0.2605701288136701,0.0
2015-01-16,1,2,Correcao,calmar,3,0.4448124888467444,99,HOLDING,Alvo_Suavizado,,Alvo_Suavizado,False,1.4327910169522267,1.4327910169522267,99942.3376,25601.9705,74340.3671,0.7438,0.017631760588957768,0.007975485874994748,0.0042064379374973735,0.006044471325671421,0.0,0.0,0.0,0.0,0.0,0.0732311001954687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09363392871652326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0369045863797739,0.0,0.0,0.0,0.043322699418916456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06993799904962525,0.0,0.0,0.0,0.03457479881173974,0.0,0.051326839021012656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05135884825318951,0.0,0.0,0.0,0.04162075806414281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08062200455242385,0.0,0.0,0.12078161521522185,0.0,0.0,0.0,0.0,0.0,0.0,0.04651740533157085,0.2561674169903911,0.0
